class,video,sequences
fighting,fi10_xvid.mp4,3
fighting,fi11_xvid.mp4,2
fighting,fi12_xvid.mp4,0
fighting,fi13_xvid.mp4,2
fighting,fi14_xvid.mp4,3
fighting,fi15_xvid.mp4,1
fighting,fi16_xvid.mp4,2
fighting,fi17_xvid.mp4,6
fighting,fi18_xvid.mp4,3
fighting,fi19_xvid.mp4,4
fighting,fi1_xvid.mp4,1
fighting,fi20_xvid.mp4,3
fighting,fi21_xvid.mp4,6
fighting,fi22_xvid.mp4,8
fighting,fi23_xvid.mp4,10
fighting,fi24_xvid.mp4,6
fighting,fi25_xvid.mp4,6
fighting,fi26_xvid.mp4,6
fighting,fi27_xvid.mp4,6
fighting,fi28_xvid.mp4,4
fighting,fi29_xvid.mp4,0
fighting,fi2_xvid.mp4,2
fighting,fi30_xvid.mp4,3
fighting,fi31_xvid.mp4,3
fighting,fi32_xvid.mp4,0
fighting,fi33_xvid.mp4,4
fighting,fi34_xvid.mp4,6
fighting,fi35_xvid.mp4,0
fighting,fi36_xvid.mp4,1
fighting,fi37_xvid.mp4,0
fighting,fi38_xvid.mp4,2
fighting,fi39_xvid.mp4,0
fighting,fi3_xvid.mp4,6
fighting,fi40_xvid.mp4,0
fighting,fi4_xvid.mp4,12
fighting,fi5_xvid.mp4,3
fighting,fi6_xvid.mp4,0
fighting,fi7_xvid.mp4,0
fighting,fi8_xvid.mp4,3
fighting,fi9_xvid.mp4,0
non_fighting,no100_xvid.mp4,3
non_fighting,no101_xvid.mp4,0
non_fighting,no102_xvid.mp4,0
non_fighting,no103_xvid.mp4,0
non_fighting,no104_xvid.mp4,0
non_fighting,no105_xvid.mp4,0
non_fighting,no106_xvid.mp4,2
non_fighting,no107_xvid.mp4,0
non_fighting,no108_xvid.mp4,0
non_fighting,no109_xvid.mp4,0
non_fighting,no110_xvid.mp4,0
non_fighting,no111_xvid.mp4,8
non_fighting,no112_xvid.mp4,0
non_fighting,no113_xvid.mp4,0
non_fighting,no13_xvid.mp4,3
non_fighting,no14_xvid.mp4,3
non_fighting,no17_xvid.mp4,0
non_fighting,no18_xvid.mp4,0
non_fighting,no19_xvid.mp4,0
non_fighting,no20_xvid.mp4,0
non_fighting,no21_xvid.mp4,0
non_fighting,no22_xvid.mp4,0
non_fighting,no23_xvid.mp4,5
non_fighting,no24_xvid.mp4,3
non_fighting,no25_xvid.mp4,0
non_fighting,no26_xvid.mp4,0
non_fighting,no27_xvid.mp4,0
non_fighting,no28_xvid.mp4,0
non_fighting,no29_xvid.mp4,0
non_fighting,no2_xvid.mp4,3
non_fighting,no30_xvid.mp4,0
non_fighting,no31_xvid.mp4,0
non_fighting,no32_xvid.mp4,3
non_fighting,no33_xvid.mp4,0
non_fighting,no34_xvid.mp4,0
non_fighting,no35_xvid.mp4,0
non_fighting,no36_xvid.mp4,0
non_fighting,no37_xvid.mp4,0
non_fighting,no38_xvid.mp4,1
non_fighting,no39_xvid.mp4,3
non_fighting,no40_xvid.mp4,0
non_fighting,no41_xvid.mp4,0
non_fighting,no42_xvid.mp4,0
non_fighting,no43_xvid.mp4,1
non_fighting,no44_xvid.mp4,0
non_fighting,no45_xvid.mp4,0
non_fighting,no46_xvid.mp4,0
non_fighting,no47_xvid.mp4,0
non_fighting,no48_xvid.mp4,1
non_fighting,no49_xvid.mp4,0
non_fighting,no50_xvid.mp4,0
non_fighting,no51_xvid.mp4,0
non_fighting,no52_xvid.mp4,0
non_fighting,no53_xvid.mp4,0
non_fighting,no54_xvid.mp4,2
non_fighting,no55_xvid.mp4,0
non_fighting,no56_xvid.mp4,3
non_fighting,no57_xvid.mp4,0
non_fighting,no58_xvid.mp4,3
non_fighting,no59_xvid.mp4,0
non_fighting,no60_xvid.mp4,0
non_fighting,no61_xvid.mp4,0
non_fighting,no62_xvid.mp4,0
non_fighting,no63_xvid.mp4,0
non_fighting,no64_xvid.mp4,8
non_fighting,no65___xvid.mp4,4
non_fighting,no66_xvid.mp4,1
non_fighting,no67_xvid.mp4,0
non_fighting,no68_xvid.mp4,0
non_fighting,no69_xvid.mp4,3
non_fighting,no70_xvid.mp4,3
non_fighting,no71_xvid.mp4,3
non_fighting,no72_xvid.mp4,0
non_fighting,no73_xvid.mp4,0
non_fighting,no74_xvid.mp4,10
non_fighting,no75_xvid.mp4,1
non_fighting,no76_xvid.mp4,0
non_fighting,no77_xvid.mp4,0
non_fighting,no78_xvid.mp4,6
non_fighting,no79_xvid.mp4,4
non_fighting,no80_xvid.mp4,0
non_fighting,no81_xvid.mp4,2
non_fighting,no82_xvid.mp4,8
non_fighting,no83_xvid.mp4,4
non_fighting,no84_xvid.mp4,2
non_fighting,no85_xvid.mp4,2
non_fighting,no86_xvid.mp4,6
non_fighting,no87_xvid.mp4,1
non_fighting,no88_xvid.mp4,0
non_fighting,no89_xvid.mp4,2
non_fighting,no90_xvid.mp4,6
non_fighting,no91_xvid.mp4,3
non_fighting,no92_xvid.mp4,3
non_fighting,no93_xvid.mp4,0
non_fighting,no94_xvid.mp4,0
non_fighting,no95_xvid.mp4,0
non_fighting,no96_xvid.mp4,0
non_fighting,no97_xvid.mp4,0
non_fighting,no98_xvid.mp4,0
non_fighting,no99_xvid.mp4,0
