sequence_path,label,video_id
dataset/sequence\non_fighting\no23_xvid_person_2_seq_002.npy,Non-Fighting,no23
dataset/sequence\non_fighting\no82_xvid_person_1_seq_006.npy,Non-Fighting,no82
dataset/sequence\fighting\fi8_xvid_person_1_seq_001.npy,Fighting,fi8
dataset/sequence\fighting\fi28_xvid_person_2_seq_003.npy,Fighting,fi28
dataset/sequence\non_fighting\no23_xvid_person_1_seq_003.npy,Non-Fighting,no23
dataset/sequence\fighting\fi21_xvid_person_3_seq_003.npy,Fighting,fi21
dataset/sequence\non_fighting\no38_xvid_person_5_seq_000.npy,Non-Fighting,no38
dataset/sequence\non_fighting\no100_xvid_person_1_seq_002.npy,Non-Fighting,no100
dataset/sequence\non_fighting\no90_xvid_person_2_seq_005.npy,Non-Fighting,no90
dataset/sequence\non_fighting\no43_xvid_person_1_seq_000.npy,Non-Fighting,no43
dataset/sequence\fighting\fi18_xvid_person_1_seq_000.npy,Fighting,fi18
dataset/sequence\fighting\fi24_xvid_person_1_seq_002.npy,Fighting,fi24
dataset/sequence\fighting\fi17_xvid_person_1_seq_004.npy,Fighting,fi17
dataset/sequence\fighting\fi33_xvid_person_1_seq_003.npy,Fighting,fi33
dataset/sequence\fighting\fi20_xvid_person_8_seq_002.npy,Fighting,fi20
dataset/sequence\fighting\fi23_xvid_person_1_seq_003.npy,Fighting,fi23
dataset/sequence\non_fighting\no74_xvid_person_4_seq_002.npy,Non-Fighting,no74
dataset/sequence\fighting\fi26_xvid_person_2_seq_003.npy,Fighting,fi26
dataset/sequence\non_fighting\no2_xvid_person_1_seq_000.npy,Non-Fighting,no2
dataset/sequence\fighting\fi17_xvid_person_3_seq_001.npy,Fighting,fi17
dataset/sequence\fighting\fi3_xvid_person_3_seq_004.npy,Fighting,fi3
dataset/sequence\fighting\fi17_xvid_person_3_seq_005.npy,Fighting,fi17
dataset/sequence\fighting\fi16_xvid_person_3_seq_001.npy,Fighting,fi16
dataset/sequence\fighting\fi14_xvid_person_1_seq_002.npy,Fighting,fi14
dataset/sequence\non_fighting\no74_xvid_person_4_seq_005.npy,Non-Fighting,no74
dataset/sequence\fighting\fi3_xvid_person_3_seq_002.npy,Fighting,fi3
dataset/sequence\non_fighting\no82_xvid_person_1_seq_003.npy,Non-Fighting,no82
dataset/sequence\fighting\fi30_xvid_person_1_seq_001.npy,Fighting,fi30
dataset/sequence\fighting\fi28_xvid_person_2_seq_001.npy,Fighting,fi28
dataset/sequence\non_fighting\no85_xvid_person_1_seq_000.npy,Non-Fighting,no85
dataset/sequence\fighting\fi21_xvid_person_3_seq_005.npy,Fighting,fi21
dataset/sequence\non_fighting\no82_xvid_person_4_seq_001.npy,Non-Fighting,no82
dataset/sequence\non_fighting\no70_xvid_person_1_seq_002.npy,Non-Fighting,no70
dataset/sequence\non_fighting\no111_xvid_person_1_seq_000.npy,Non-Fighting,no111
dataset/sequence\non_fighting\no90_xvid_person_1_seq_001.npy,Non-Fighting,no90
dataset/sequence\fighting\fi10_xvid_person_2_seq_002.npy,Fighting,fi10
dataset/sequence\non_fighting\no70_xvid_person_1_seq_001.npy,Non-Fighting,no70
dataset/sequence\non_fighting\no56_xvid_person_2_seq_000.npy,Non-Fighting,no56
dataset/sequence\fighting\fi33_xvid_person_28_seq_002.npy,Fighting,fi33
dataset/sequence\non_fighting\no75_xvid_person_3_seq_000.npy,Non-Fighting,no75
dataset/sequence\fighting\fi24_xvid_person_2_seq_003.npy,Fighting,fi24
dataset/sequence\fighting\fi21_xvid_person_1_seq_002.npy,Fighting,fi21
dataset/sequence\non_fighting\no83_xvid_person_1_seq_000.npy,Non-Fighting,no83
dataset/sequence\non_fighting\no106_xvid_person_1_seq_001.npy,Non-Fighting,no106
dataset/sequence\non_fighting\no13_xvid_person_1_seq_002.npy,Non-Fighting,no13
dataset/sequence\non_fighting\no13_xvid_person_1_seq_000.npy,Non-Fighting,no13
dataset/sequence\fighting\fi23_xvid_person_3_seq_005.npy,Fighting,fi23
dataset/sequence\non_fighting\no48_xvid_person_3_seq_000.npy,Non-Fighting,no48
dataset/sequence\fighting\fi20_xvid_person_3_seq_000.npy,Fighting,fi20
dataset/sequence\non_fighting\no111_xvid_person_3_seq_002.npy,Non-Fighting,no111
dataset/sequence\non_fighting\no82_xvid_person_1_seq_000.npy,Non-Fighting,no82
dataset/sequence\non_fighting\no13_xvid_person_1_seq_001.npy,Non-Fighting,no13
dataset/sequence\fighting\fi16_xvid_person_3_seq_000.npy,Fighting,fi16
dataset/sequence\fighting\fi33_xvid_person_1_seq_001.npy,Fighting,fi33
dataset/sequence\non_fighting\no74_xvid_person_3_seq_001.npy,Non-Fighting,no74
dataset/sequence\fighting\fi13_xvid_person_1_seq_001.npy,Fighting,fi13
dataset/sequence\fighting\fi21_xvid_person_1_seq_004.npy,Fighting,fi21
dataset/sequence\non_fighting\no85_xvid_person_1_seq_001.npy,Non-Fighting,no85
dataset/sequence\non_fighting\no83_xvid_person_1_seq_002.npy,Non-Fighting,no83
dataset/sequence\fighting\fi23_xvid_person_4_seq_002.npy,Fighting,fi23
dataset/sequence\fighting\fi24_xvid_person_1_seq_000.npy,Fighting,fi24
dataset/sequence\fighting\fi11_xvid_person_4_seq_001.npy,Fighting,fi11
dataset/sequence\non_fighting\no82_xvid_person_2_seq_007.npy,Non-Fighting,no82
dataset/sequence\fighting\fi23_xvid_person_2_seq_000.npy,Fighting,fi23
dataset/sequence\fighting\fi33_xvid_person_1_seq_000.npy,Fighting,fi33
dataset/sequence\non_fighting\no56_xvid_person_1_seq_002.npy,Non-Fighting,no56
dataset/sequence\fighting\fi38_xvid_person_8_seq_000.npy,Fighting,fi38
dataset/sequence\fighting\fi15_xvid_person_2_seq_000.npy,Fighting,fi15
dataset/sequence\non_fighting\no23_xvid_person_1_seq_004.npy,Non-Fighting,no23
dataset/sequence\non_fighting\no74_xvid_person_1_seq_008.npy,Non-Fighting,no74
dataset/sequence\fighting\fi10_xvid_person_2_seq_000.npy,Fighting,fi10
dataset/sequence\non_fighting\no74_xvid_person_1_seq_000.npy,Non-Fighting,no74
dataset/sequence\non_fighting\no69_xvid_person_2_seq_001.npy,Non-Fighting,no69
dataset/sequence\fighting\fi31_xvid_person_3_seq_002.npy,Fighting,fi31
dataset/sequence\fighting\fi24_xvid_person_2_seq_001.npy,Fighting,fi24
dataset/sequence\non_fighting\no23_xvid_person_1_seq_001.npy,Non-Fighting,no23
dataset/sequence\fighting\fi21_xvid_person_3_seq_001.npy,Fighting,fi21
dataset/sequence\fighting\fi23_xvid_person_4_seq_009.npy,Fighting,fi23
dataset/sequence\non_fighting\no89_xvid_person_2_seq_000.npy,Non-Fighting,no89
dataset/sequence\fighting\fi21_xvid_person_1_seq_000.npy,Fighting,fi21
dataset/sequence\fighting\fi20_xvid_person_3_seq_001.npy,Fighting,fi20
dataset/sequence\non_fighting\no74_xvid_person_1_seq_004.npy,Non-Fighting,no74
dataset/sequence\non_fighting\no100_xvid_person_1_seq_001.npy,Non-Fighting,no100
dataset/sequence\fighting\fi8_xvid_person_1_seq_002.npy,Fighting,fi8
dataset/sequence\fighting\fi23_xvid_person_4_seq_006.npy,Fighting,fi23
dataset/sequence\non_fighting\no87_xvid_person_17_seq_000.npy,Non-Fighting,no87
dataset/sequence\non_fighting\no111_xvid_person_1_seq_003.npy,Non-Fighting,no111
dataset/sequence\non_fighting\no70_xvid_person_1_seq_000.npy,Non-Fighting,no70
dataset/sequence\non_fighting\no90_xvid_person_2_seq_003.npy,Non-Fighting,no90
dataset/sequence\non_fighting\no82_xvid_person_2_seq_005.npy,Non-Fighting,no82
dataset/sequence\fighting\fi26_xvid_person_1_seq_000.npy,Fighting,fi26
dataset/sequence\non_fighting\no74_xvid_person_2_seq_003.npy,Non-Fighting,no74
dataset/sequence\fighting\fi30_xvid_person_1_seq_002.npy,Fighting,fi30
dataset/sequence\fighting\fi3_xvid_person_1_seq_005.npy,Fighting,fi3
dataset/sequence\fighting\fi23_xvid_person_2_seq_004.npy,Fighting,fi23
dataset/sequence\non_fighting\no69_xvid_person_1_seq_000.npy,Non-Fighting,no69
dataset/sequence\non_fighting\no71_xvid_person_1_seq_002.npy,Non-Fighting,no71
dataset/sequence\non_fighting\no83_xvid_person_2_seq_001.npy,Non-Fighting,no83
dataset/sequence\fighting\fi31_xvid_person_3_seq_000.npy,Fighting,fi31
dataset/sequence\non_fighting\no92_xvid_person_1_seq_001.npy,Non-Fighting,no92
dataset/sequence\non_fighting\no90_xvid_person_1_seq_004.npy,Non-Fighting,no90
dataset/sequence\non_fighting\no39_xvid_person_1_seq_000.npy,Non-Fighting,no39
dataset/sequence\fighting\fi28_xvid_person_1_seq_000.npy,Fighting,fi28
dataset/sequence\fighting\fi13_xvid_person_1_seq_000.npy,Fighting,fi13
dataset/sequence\non_fighting\no71_xvid_person_1_seq_000.npy,Non-Fighting,no71
dataset/sequence\fighting\fi11_xvid_person_4_seq_000.npy,Fighting,fi11
dataset/sequence\non_fighting\no86_xvid_person_2_seq_005.npy,Non-Fighting,no86
dataset/sequence\fighting\fi26_xvid_person_1_seq_004.npy,Fighting,fi26
dataset/sequence\fighting\fi23_xvid_person_3_seq_001.npy,Fighting,fi23
dataset/sequence\non_fighting\no100_xvid_person_1_seq_000.npy,Non-Fighting,no100
dataset/sequence\fighting\fi8_xvid_person_1_seq_000.npy,Fighting,fi8
dataset/sequence\fighting\fi23_xvid_person_2_seq_007.npy,Fighting,fi23
dataset/sequence\fighting\fi24_xvid_person_2_seq_005.npy,Fighting,fi24
dataset/sequence\fighting\fi14_xvid_person_1_seq_000.npy,Fighting,fi14
dataset/sequence\fighting\fi24_xvid_person_1_seq_004.npy,Fighting,fi24
dataset/sequence\fighting\fi38_xvid_person_8_seq_001.npy,Fighting,fi38
dataset/sequence\non_fighting\no74_xvid_person_2_seq_007.npy,Non-Fighting,no74
dataset/sequence\non_fighting\no56_xvid_person_1_seq_001.npy,Non-Fighting,no56
dataset/sequence\non_fighting\no111_xvid_person_3_seq_005.npy,Non-Fighting,no111
dataset/sequence\non_fighting\no106_xvid_person_1_seq_000.npy,Non-Fighting,no106
dataset/sequence\non_fighting\no86_xvid_person_1_seq_000.npy,Non-Fighting,no86
dataset/sequence\non_fighting\no86_xvid_person_1_seq_004.npy,Non-Fighting,no86
dataset/sequence\non_fighting\no111_xvid_person_2_seq_004.npy,Non-Fighting,no111
dataset/sequence\fighting\fi14_xvid_person_1_seq_001.npy,Fighting,fi14
dataset/sequence\non_fighting\no90_xvid_person_1_seq_002.npy,Non-Fighting,no90
